europe.city-maiden-castle | Maiden Castle | Europe | s=-600 e=-43 ext=None b=[-636, -564] | typological | h=None ds=None | Largest Iron Age hillfort in Britain; proto-urban tribal centre, not a city. | al=Dorset
west-asia.city-ekron | Ekron | West Asia | s=-1600 e=-600 ext=None b=[-1696, -1504] | typological | h=None ds=None | Philistine pentapolis city and an industrial-scale olive oil producer. | al=Tel Miqne,Central District
west-asia.city-elath | Ayla | West Asia | s=-1000 e=None ext=True b=[-1150, -850] | typological | h=None ds=None | Red Sea head-of-gulf port linking the Levant to Arabia and Africa. | al=Aqaba,Elath,Eilat
west-asia.city-emar | Emar | West Asia | s=-2400 e=-1187 ext=None b=[-2544, -2256] | typological | h=None ds=None | Hittite-period Euphrates trading city with large private legal and ritual archives. | al=Tell Meskene,Aleppo
west-asia.city-ephesus | Ephesus | West Asia | s=-1400 e=1400 ext=None b=[-1428, -1372] | typological | h=None ds=None | Great Ionian port of the Artemision, later Roman Asia's capital and an early Christian centre. | al=Efes,Apasa,Izmir
west-asia.city-erebuni | Erebuni | West Asia | s=-782 e=None ext=True b=[-828, -736] | typological | h=None ds=None | Urartian fortress founded in 782 BCE from which Yerevan claims descent. | al=Yerevan,Erevan
west-asia.city-eridu | Eridu | West Asia | s=-5400 e=-600 ext=None b=[-5724, -5076] | typological | h=None ds=None | Sumerian tradition's first city, seat of Enki and a stacked sequence of temples. | al=Tell Abu Shahrain,Dhi Qar
west-asia.city-eshnunna | Eshnunna | West Asia | s=-3000 e=-1700 ext=None b=[-3180, -2820] | typological | h=None ds=None | Diyala kingdom whose law code predates Hammurabi's. | al=Tell Asmar,Diyala
west-asia.city-failaka | Failaka | West Asia | s=-2000 e=100 ext=None b=[-2300, -1700] | typological | h=None ds=None | Dilmun then Seleucid island settlement guarding the head of the Gulf. | al=Ikaros,Failaka Island,Kuwait
west-asia.city-gadara | Gadara | West Asia | s=-300 e=800 ext=None b=[-350, -250] | typological | h=None ds=None | Decapolis hill city known for its philosophers and poets. | al=Umm Qais,Irbid
west-asia.city-gath | Gath | West Asia | s=-3000 e=-700 ext=None b=[-3180, -2820] | typological | h=None ds=None | Largest Philistine city in its heyday, Goliath's traditional home. | al=Tell es-Safi,Central District
west-asia.city-gaza | Gaza | West Asia | s=-3300 e=None ext=True b=[-3498, -3102] | typological | h=None ds=None | Terminus of the incense road and Egypt's gateway to the Levant for five millennia. | al=Ghazza,Hazzatu,Gaza Strip
west-asia.city-gerrha | Gerrha | West Asia | s=-300 e=300 ext=None b=[-350, -250] | typological | h=None ds=None | Fabulously rich Gulf entrepôt of the incense trade, its site still debated. | al=Gerra,Eastern Province
west-asia.city-gezer | Gezer | West Asia | s=-3300 e=-100 ext=None b=[-3498, -3102] | typological | h=None ds=None | Fortified gateway between the coast and the hills, subject of the oldest Hebrew calendar text. | al=Tel Gezer,Central District
west-asia.city-girsu | Girsu | West Asia | s=-3000 e=-200 ext=None b=[-3180, -2820] | typological | h=None ds=None | Religious capital of Lagash state and source of Gudea's statues and the Stele of the Vultures. | al=Tello,Telloh,Dhi Qar
west-asia.city-godin-tepe | Godin Tepe | West Asia | s=-5000 e=-500 ext=None b=[-5750, -4250] | typological | h=None ds=None | Zagros citadel that yielded the earliest chemical evidence for wine and beer. | al=Kermanshah
west-asia.city-gor | Gor | West Asia | s=224 e=1000 ext=None b=[199, 249] | typological | h=None ds=None | Ardashir I's perfectly circular Sasanian foundation city. | al=Ardashir-Khwarrah,Firuzabad,Fars
west-asia.city-gordion | Gordion | West Asia | s=-2500 e=400 ext=None b=[-2650, -2350] | typological | h=None ds=None | Phrygian capital of Midas with monumental tumulus burials and early alphabetic texts. | al=Gordium,Yassihoyuk,Ankara
west-asia.city-gorgan | Gorgan | West Asia | s=-500 e=None ext=True b=[-575, -425] | typological | h=None ds=None | Caspian gateway city behind the great Sasanian Gorgan Wall. | al=Jurjan,Astarabad,Hyrcania,Golestan
west-asia.city-gundeshapur | Gundeshapur | West Asia | s=260 e=1000 ext=None b=[235, 285] | typological | h=None ds=None | Sasanian city whose academy and hospital transmitted Greek and Indian medicine to Islam. | al=Jundishapur,Khuzestan
west-asia.city-habuba-kabira | Habuba Kabira | West Asia | s=-3500 e=-3000 ext=None b=[-3710, -3290] | typological | h=None ds=None | Planned Uruk colony far up the Euphrates, evidence of the first urban expansion. | al=Habuba Kabira-süd,Aleppo
west-asia.city-hacilar | Hacılar | West Asia | s=-7000 e=-5000 ext=None b=[-8050, -5950] | typological | h=None ds=None | Neolithic-Chalcolithic village known for fine painted pottery and figurines; not a city. | al=Hacilar,Burdur
west-asia.city-haft-tepe | Kabnak | West Asia | s=-1500 e=-1100 ext=None b=[-1725, -1275] | typological | h=None ds=None | Middle Elamite royal centre with vaulted tombs and a craft quarter. | al=Haft Tepe,Khuzestan
west-asia.city-halicarnassus | Halicarnassus | West Asia | s=-900 e=None ext=True b=[-954, -846] | typological | h=None ds=None | Carian capital of Mausolus and site of the Mausoleum, one of the seven wonders. | al=Bodrum,Mugla
west-asia.city-hama | Hamath | West Asia | s=-3000 e=None ext=True b=[-3180, -2820] | typological | h=None ds=None | Neo-Hittite and Aramaean royal city on the Orontes, later famed for its norias. | al=Hama,Epiphania
west-asia.city-harran | Harran | West Asia | s=-2000 e=1260 ext=None b=[-2120, -1880] | typological | h=None ds=None | Moon-god city of Sin that kept its pagan cult and astronomy into Islamic times. | al=Carrhae,Sanliurfa
west-asia.city-hasanlu | Hasanlu | West Asia | s=-6000 e=-800 ext=None b=[-6360, -5640] | typological | h=None ds=None | Fortified Iron Age citadel violently destroyed, source of the famous gold bowl. | al=West Azerbaijan
west-asia.city-hatra | Hatra | West Asia | s=-200 e=241 ext=None b=[-225, -175] | typological | h=None ds=None | Fortified Parthian-era caravan and temple city that twice repulsed Rome before Sasanian destruction. | al=Al-Hadr,Nineveh
west-asia.city-hazor | Hazor | West Asia | s=-2700 e=-700 ext=None b=[-2754, -2646] | typological | h=None ds=None | The largest Canaanite city in the southern Levant, with a huge lower town and archive. | al=Tel Hazor,Hasura,Northern District
west-asia.city-hegra | Hegra | West Asia | s=-300 e=400 ext=None b=[-325, -275] | typological | h=None ds=None | Nabataean southern city of monumental rock tombs on the incense road. | al=Mada'in Salih,Al-Hijr,Dedan nearby,Al-Ula
west-asia.city-heshbon | Heshbon | West Asia | s=-1400 e=1400 ext=None b=[-1610, -1190] | typological | h=None ds=None | Moabite-Ammonite frontier town on the King's Highway. | al=Tell Hesban,Madaba
west-asia.city-hierapolis | Hierapolis | West Asia | s=-190 e=1354 ext=None b=[-215, -165] | typological | h=None ds=None | Thermal spa and healing city abandoned after an earthquake. | al=Pamukkale,Denizli
west-asia.city-homs | Emesa | West Asia | s=-300 e=None ext=True b=[-325, -275] | typological | h=None ds=None | Sun-god city that gave Rome the emperor Elagabalus and later anchored Syrian trade routes. | al=Homs,Hims
west-asia.city-hormuz | Hormuz | West Asia | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Strait-controlling emporium that moved to Jarun island and taxed all Gulf shipping. | al=Old Hormuz,Hormoz,Hormozgan
west-asia.city-imgur-enlil | Imgur-Enlil | West Asia | s=-1300 e=-600 ext=None b=[-1495, -1105] | typological | h=None ds=None | Assyrian town whose palace gates carry the finest surviving bronze narrative reliefs. | al=Balawat,Nineveh
west-asia.city-isfahan | Isfahan | West Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Seljuk capital with a great congregational mosque, later Safavid Iran's showpiece. | al=Ispahan,Gabae,Jay
west-asia.city-isin | Isin | West Asia | s=-2500 e=-600 ext=None b=[-2650, -2350] | typological | h=None ds=None | Successor dynasty to Ur that claimed Sumerian kingship and rebuilt its cult centres. | al=Ishan al-Bahriyat,Qadisiyah
west-asia.city-istakhr | Istakhr | West Asia | s=-300 e=1200 ext=None b=[-350, -250] | typological | h=None ds=None | Sasanian-era Fars capital and early Islamic city near Persepolis, later eclipsed by Shiraz. | al=Estakhr,Fars
west-asia.city-jaffa | Jaffa | West Asia | s=-1800 e=None ext=True b=[-1908, -1692] | typological | h=None ds=None | Ancient harbour serving the Judaean hinterland, mentioned in Egyptian and biblical sources. | al=Yafo,Joppa,Yaffa,Tel Aviv
west-asia.city-jarmo | Jarmo | West Asia | s=-7500 e=-5000 ext=None b=[-7950, -7050] | typological | h=None ds=None | Early Neolithic farming village, a founding site of Zagros agriculture; not a city. | al=Qal'at Jarmo,Sulaymaniyah
west-asia.city-jeddah | Jeddah | West Asia | s=-500 e=None ext=True b=[-575, -425] | typological | h=None ds=None | Red Sea port of Mecca and the main gateway for pilgrims. | al=Jiddah,Makkah
west-asia.city-jerash | Gerasa | West Asia | s=-300 e=None ext=True b=[-325, -275] | typological | h=None ds=None | Best-preserved Decapolis city, with oval forum and colonnaded cardo. | al=Jerash,Jarash
west-asia.city-jericho | Jericho | West Asia | s=-9600 e=None ext=True b=[-9792, -9408] | typological | h=None ds=None | Earliest known walled settlement, with a stone tower a thousand years before farming villages spread. | al=Tell es-Sultan,Ariha,West Bank
west-asia.city-jerusalem | Jerusalem | West Asia | s=-3500 e=None ext=True b=[-3570, -3430] | typological | h=None ds=None | Temple city sacred to three faiths and the political heart of Judah. | al=Yerushalayim,Al-Quds,Urusalim
west-asia.city-julfar | Julfar | West Asia | s=700 e=None ext=True b=[595, 805] | typological | h=None ds=None | Pearl and Indian Ocean port of the lower Gulf, base of the navigator Ibn Majid. | al=Ras al-Khaimah
west-asia.city-kadesh | Kadesh | West Asia | s=-2500 e=-1100 ext=None b=[-2650, -2350] | typological | h=None ds=None | Orontes stronghold where Ramesses II and Muwatalli fought the best-documented Bronze Age battle. | al=Qadesh,Tell Nebi Mend,Homs
west-asia.city-kanesh | Kanesh | West Asia | s=-2500 e=-1700 ext=None b=[-2550, -2450] | typological | h=None ds=None | Assyrian merchant colony whose letters document the first documented long-distance trade network. | al=Kültepe,Kultepe,Karum Kanes,Kayseri
west-asia.city-kar-tukulti-ninurta | Kar-Tukulti-Ninurta | West Asia | s=-1240 e=-1150 ext=None b=[-1426, -1054] | typological | h=None ds=None | Short-lived Middle Assyrian royal city opposite Assur, abandoned on its founder's murder. | al=Salah ad-Din
west-asia.city-karahan-tepe | Karahan Tepe | West Asia | s=-9400 e=-8000 ext=None b=[-9964, -8836] | typological | h=None ds=None | Contemporary of Göbekli Tepe with carved pillars and head sculptures; ceremonial, not a city. | al=Keçilitepe,Sanliurfa
west-asia.city-karatepe | Karatepe | West Asia | s=-800 e=-680 ext=None b=[-848, -752] | typological | h=None ds=None | Neo-Hittite hilltop citadel with a bilingual inscription that cracked hieroglyphic Luwian. | al=Azatiwataya,Osmaniye
west-asia.city-kashan | Kashan | West Asia | s=-4000 e=None ext=True b=[-4600, -3400] | typological | h=None ds=None | Oasis town of lustre ceramics and tiles, next to Neolithic Sialk. | al=Isfahan
west-asia.city-kerman | Kerman | West Asia | s=226 e=None ext=True b=[176, 276] | typological | h=None ds=None | Sasanian foundation controlling the southeast trade route to India. | al=Carmania,Bardasir
west-asia.city-kermanshah | Kermanshah | West Asia | s=300 e=None ext=True b=[250, 350] | typological | h=None ds=None | Zagros road city beside Darius's Bisotun inscription. | al=Kirmanshah,Bisotun nearby
west-asia.city-khaybar | Khaybar | West Asia | s=-500 e=None ext=True b=[-575, -425] | typological | h=None ds=None | Fortified oasis of date palms and Jewish settlement in the Hijaz. | al=Madinah
west-asia.city-kir-hareseth | Kir-Hareseth | West Asia | s=-1200 e=None ext=True b=[-1380, -1020] | typological | h=None ds=None | Moabite stronghold, later a great Crusader and Mamluk castle town. | al=Kerak,Karak
west-asia.city-kish | Kish | West Asia | s=-3500 e=600 ext=None b=[-3710, -3290] | typological | h=None ds=None | First city to hold kingship after the flood in Sumerian tradition; Sargon's launching point. | al=Tell al-Uhaymir,Babil
west-asia.city-konar-sandal | Konar Sandal | West Asia | s=-2800 e=-1800 ext=None b=[-3220, -2380] | typological | h=None ds=None | Monumental centre of the Halil Rud culture, a possible independent Bronze Age civilisation. | al=Jiroft,Kerman
west-asia.city-konya | Iconium | West Asia | s=-3000 e=None ext=True b=[-3180, -2820] | typological | h=None ds=None | Ancient Phrygian town that became the Seljuk sultanate's capital and Rumi's home. | al=Konya,Ikonion
west-asia.city-kufa | Kufa | West Asia | s=638 e=None ext=True b=[626, 650] | typological | h=None ds=None | Garrison city that became a centre of Arabic grammar, Shi'i politics and early Islamic law. | al=Al-Kufah,Najaf
west-asia.city-kussara | Kussara | West Asia | s=-2000 e=-1600 ext=None b=[-2300, -1700] | typological | h=None ds=None | Original royal seat of the Hittite dynasty; site not yet identified. | al=central Anatolia
west-asia.city-kutha | Kutha | West Asia | s=-2600 e=300 ext=None b=[-2990, -2210] | typological | h=None ds=None | Cult city of the underworld god Nergal. | al=Kutu,Tell Ibrahim,Babil
west-asia.city-lachish | Lachish | West Asia | s=-2900 e=-400 ext=None b=[-2958, -2842] | typological | h=None ds=None | Judah's second city, whose siege Sennacherib carved in relief at Nineveh. | al=Tell ed-Duweir,Southern District
west-asia.city-lagash | Lagash | West Asia | s=-3000 e=-300 ext=None b=[-3180, -2820] | typological | h=None ds=None | Sumerian city-state whose kings left the earliest detailed records of war and land. | al=Al-Hiba,Dhi Qar
west-asia.city-laodicea-lycum | Laodicea ad Lycum | West Asia | s=-260 e=700 ext=None b=[-310, -210] | typological | h=None ds=None | Wealthy banking and wool city, one of the seven churches of Revelation. | al=Denizli
west-asia.city-laodicea-syria | Laodicea ad Mare | West Asia | s=-300 e=None ext=True b=[-350, -250] | typological | h=None ds=None | Seleucid port that became coastal Syria's main outlet. | al=Latakia
west-asia.city-larak | Larak | West Asia | s=-3500 e=-1800 ext=None b=[-4025, -2975] | typological | h=None ds=None | Antediluvian city of the king list, location still disputed. | al=southern Iraq
west-asia.city-larsa | Larsa | West Asia | s=-2900 e=-300 ext=None b=[-3074, -2726] | typological | h=None ds=None | Sun-god city and dominant southern power until Hammurabi absorbed it. | al=Tell as-Senkereh,Dhi Qar
west-asia.city-marad | Marad | West Asia | s=-2600 e=-1200 ext=None b=[-2990, -2210] | typological | h=None ds=None | Sumerian city founded by Naram-Sin's line for the god Lugal-Marada. | al=Tell Wannat es-Sadum,Babil
west-asia.city-mari | Mari | West Asia | s=-2900 e=-1759 ext=None b=[-2958, -2842] | typological | h=None ds=None | Euphrates trade capital whose palace archive of 25,000 tablets illuminates the age of Hammurabi. | al=Tell Hariri,Deir ez-Zor
west-asia.city-marib | Marib | West Asia | s=-1200 e=700 ext=None b=[-1224, -1176] | typological | h=None ds=None | Sabaean capital whose great dam irrigated a desert kingdom for over a millennium. | al=Ma'rib,Maryab
west-asia.city-masada | Masada | West Asia | s=-100 e=74 ext=None b=[-125, -75] | typological | h=None ds=None | Herodian desert palace-fortress and site of the Zealots' last stand; a fortress, not a city. | al=Metsada,Southern District
west-asia.city-mashkan-shapir | Mashkan-shapir | West Asia | s=-2000 e=-1720 ext=None b=[-2300, -1700] | typological | h=None ds=None | Second city of Larsa, abandoned intact and so a rare full Old Babylonian town plan. | al=Tell Abu Duwari,Wasit
west-asia.city-mecca | Mecca | West Asia | s=300 e=None ext=True b=[275, 325] | typological | h=None ds=None | Sanctuary and caravan town that became Islam's holiest city and pilgrimage focus. | al=Makkah,Bakkah
west-asia.city-medina | Medina | West Asia | s=-600 e=None ext=True b=[-636, -564] | typological | h=None ds=None | Oasis town that hosted Muhammad's community and became the first Islamic capital. | al=Yathrib,Al-Madinah,Madinah
west-asia.city-megiddo | Megiddo | West Asia | s=-5000 e=-400 ext=None b=[-5100, -4900] | typological | h=None ds=None | Fortress guarding the Via Maris pass, fought over so often it named the apocalypse. | al=Tel Megiddo,Armageddon,Northern District
west-asia.city-melitene | Melitene | West Asia | s=-1200 e=None ext=True b=[-1380, -1020] | typological | h=None ds=None | Euphrates frontier legionary city guarding the Anatolian passes. | al=Malatya,Melid
west-asia.city-mersin-yumuktepe | Yumuktepe | West Asia | s=-7000 e=1300 ext=None b=[-8050, -5950] | typological | h=None ds=None | Long-lived Cilician mound with one of the earliest fortified settlements. | al=Mersin Yumuktepe,Mersin
west-asia.city-miletus | Miletus | West Asia | s=-1900 e=1400 ext=None b=[-1938, -1862] | typological | h=None ds=None | Ionian trading power, mother of dozens of colonies and birthplace of Greek philosophy. | al=Milet,Millawanda,Aydin
west-asia.city-mleiha | Mleiha | West Asia | s=-300 e=200 ext=None b=[-350, -250] | typological | h=None ds=None | Inland southeast Arabian centre with monumental tombs and its own coinage. | al=Mileiha,Sharjah
west-asia.city-mosul | Mosul | West Asia | s=600 e=None ext=True b=[564, 636] | typological | h=None ds=None | Tigris city that inherited Nineveh's role and anchored the Zangid and Atabeg states. | al=Al-Mawsil,Nineveh
west-asia.city-mtskheta | Mtskheta | West Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Ancient Iberian capital where Georgia adopted Christianity. | al=
west-asia.city-najran | Najran | West Asia | s=-500 e=None ext=True b=[-575, -425] | typological | h=None ds=None | Caravan oasis and Christian centre martyred under the Himyarite king Dhu Nuwas. | al=Al-Ukhdud
west-asia.city-nevali-cori | Nevalı Çori | West Asia | s=-8600 e=-7900 ext=None b=[-9116, -8084] | typological | h=None ds=None | Early Neolithic village with cult building and terrazzo floors; not a city. | al=Nevali Cori,Sanliurfa
west-asia.city-nicaea | Nicaea | West Asia | s=-316 e=None ext=True b=[-326, -306] | typological | h=None ds=None | Site of the first ecumenical council and later a Byzantine capital in exile. | al=Iznik,Nikaia,Bursa
west-asia.city-nicomedia | Nicomedia | West Asia | s=-712 e=None ext=True b=[-754, -670] | typological | h=None ds=None | Diocletian's eastern imperial capital before Constantinople. | al=Izmit,Nikomedeia,Kocaeli
west-asia.city-nimrud | Kalhu | West Asia | s=-1300 e=-600 ext=None b=[-1326, -1274] | typological | h=None ds=None | Ashurnasirpal II's capital, palace of colossal lamassu and the Black Obelisk. | al=Nimrud,Calah,Nineveh
west-asia.city-nineveh | Nineveh | West Asia | s=-3000 e=700 ext=None b=[-3060, -2940] | typological | h=None ds=None | Sennacherib's vast capital and site of Ashurbanipal's library. | al=Ninua,Kuyunjik,Mosul
west-asia.city-nippur | Nippur | West Asia | s=-4000 e=800 ext=None b=[-4240, -3760] | typological | h=None ds=None | Sacred city of Enlil where Mesopotamian kingship was legitimised, never an imperial capital. | al=Nuffar,Qadisiyah
west-asia.city-nishapur | Nishapur | West Asia | s=240 e=None ext=True b=[215, 265] | typological | h=None ds=None | Sasanian foundation that became Khorasan's greatest city until the Mongols destroyed it. | al=Nishabur,Nisapur,Razavi Khorasan
west-asia.city-nisibis | Nisibis | West Asia | s=-900 e=None ext=True b=[-954, -846] | typological | h=None ds=None | Roman-Persian frontier fortress and seat of the great School of the Persians. | al=Nusaybin,Nasibina,Mardin
west-asia.city-nush-i-jan | Tepe Nush-i Jan | West Asia | s=-800 e=-600 ext=None b=[-920, -680] | typological | h=None ds=None | Median temple-and-fort complex, the best evidence for Median architecture. | al=Nush-e Jan,Hamadan
west-asia.city-nuzi | Nuzi | West Asia | s=-2400 e=-1200 ext=None b=[-2544, -2256] | typological | h=None ds=None | Hurrian provincial town whose family archives are our best window on Mitanni-era society. | al=Yorghan Tepe,Gasur,Kirkuk
west-asia.city-opis | Opis | West Asia | s=-2000 e=-100 ext=None b=[-2300, -1700] | typological | h=None ds=None | Tigris crossing town where Cyrus defeated the Babylonians in 539 BCE. | al=Upi,Baghdad
west-asia.city-palmyra | Palmyra | West Asia | s=-2000 e=1400 ext=None b=[-2040, -1960] | typological | h=None ds=None | Desert caravan metropolis that under Zenobia briefly ruled the Roman East. | al=Tadmor,Tadmur,Homs
west-asia.city-pasargadae | Pasargadae | West Asia | s=-546 e=300 ext=None b=[-556, -536] | typological | h=None ds=None | Cyrus the Great's first Persian capital, garden palace complex and his tomb. | al=Batrakatas,Fars
west-asia.city-pergamon | Pergamon | West Asia | s=-400 e=None ext=True b=[-410, -390] | typological | h=None ds=None | Attalid capital of the Great Altar and a library rivalling Alexandria's. | al=Pergamum,Bergama,Izmir
west-asia.city-perge | Perge | West Asia | s=-1200 e=1200 ext=None b=[-1380, -1020] | typological | h=None ds=None | Pamphylian city of colonnaded streets and monumental nymphaeum. | al=Perga,Antalya
west-asia.city-persepolis | Persepolis | West Asia | s=-518 e=-330 ext=None b=[-528, -508] | typological | h=None ds=None | Achaemenid ceremonial capital of the Apadana reliefs, burned by Alexander. | al=Parsa,Takht-e Jamshid,Fars
west-asia.city-pessinus | Pessinus | West Asia | s=-400 e=700 ext=None b=[-460, -340] | typological | h=None ds=None | Cult city of Cybele whose sacred stone was carried to Rome. | al=Ballihisar,Eskisehir
west-asia.city-petra | Petra | West Asia | s=-400 e=700 ext=None b=[-410, -390] | typological | h=None ds=None | Nabataean rock-cut capital that taxed the incense trade and mastered desert hydraulics. | al=Raqmu,Al-Batra,Ma'an
west-asia.city-phocaea | Phocaea | West Asia | s=-1000 e=None ext=True b=[-1060, -940] | typological | h=None ds=None | Ionian seafaring city that founded Massalia and much of the western Greek coast. | al=Foca,Izmir
west-asia.city-priene | Priene | West Asia | s=-700 e=1300 ext=None b=[-742, -658] | typological | h=None ds=None | Model Hellenistic grid city on terraces above the Maeander. | al=Aydin
west-asia.city-qana | Qana | West Asia | s=-100 e=600 ext=None b=[-150, -50] | typological | h=None ds=None | Hadrami port of the Periplus shipping incense to Egypt and India. | al=Bir Ali,Kane,Shabwa
west-asia.city-qaryat-al-faw | Qaryat al-Faw | West Asia | s=-400 e=400 ext=None b=[-425, -375] | typological | h=None ds=None | Caravan city and Kindah capital at the mouth of the Wadi al-Dawasir pass. | al=Qariya,Dhat Kahl,Riyadh
west-asia.city-qatna | Qatna | West Asia | s=-2600 e=-1200 ext=None b=[-2756, -2444] | typological | h=None ds=None | Bronze Age kingdom whose intact royal tomb held gold, ivory and ancestor cult remains. | al=Tell Mishrifeh,Homs
west-asia.city-qazvin | Qazvin | West Asia | s=250 e=None ext=True b=[200, 300] | typological | h=None ds=None | Sasanian fortress town, later a frontier city against the Daylamites and Assassins. | al=Kazvin
west-asia.city-qom | Qom | West Asia | s=600 e=None ext=True b=[510, 690] | typological | h=None ds=None | Shrine city of Fatima Masumeh and a centre of Shi'i learning. | al=Qum
west-asia.city-qumran | Qumran | West Asia | s=-150 e=68 ext=None b=[-175, -125] | typological | h=None ds=None | Sectarian settlement linked to the Dead Sea Scrolls; a community compound, not a city. | al=Khirbet Qumran,West Bank
west-asia.city-raqqa | Raqqa | West Asia | s=-300 e=None ext=True b=[-325, -275] | typological | h=None ds=None | Harun al-Rashid's residence and a major Abbasid ceramic and garrison city. | al=Nikephorion,Callinicum,Al-Rafiqah
west-asia.city-ray | Ray | West Asia | s=-1000 e=None ext=True b=[-1060, -940] | typological | h=None ds=None | One of the plateau's greatest ancient cities, ruined by the Mongols and absorbed by Tehran. | al=Rey,Rhagae,Rhages,Tehran
west-asia.city-samaria-city | Samaria | West Asia | s=-880 e=600 ext=None b=[-932, -828] | typological | h=None ds=None | Purpose-built capital of the kingdom of Israel, famed for its ivories. | al=Shomron,Sebaste,West Bank
west-asia.city-samarra | Samarra | West Asia | s=836 e=None ext=True b=[820, 852] | typological | h=None ds=None | Vast Abbasid capital for half a century, with the spiral Malwiya minaret. | al=Surra Man Ra'a,Salah ad-Din
west-asia.city-samarra-prehistoric | Tell Samarra (Samarran culture) | West Asia | s=-6200 e=-5700 ext=None b=[-7130, -5270] | typological | h=None ds=None | Type-site of painted-ware culture that pioneered canal irrigation; a village, not a city. | al=Samarra prehistoric,Salah ad-Din
west-asia.city-sanaa | Sana'a | West Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Highland capital of tower houses, seat of Yemeni states from Himyar onward. | al=Sanaa,Azal
west-asia.city-sardis | Sardis | West Asia | s=-1500 e=1400 ext=None b=[-1530, -1470] | typological | h=None ds=None | Lydian capital of Croesus where coinage was invented, later a Roman provincial city. | al=Sardes,Sfard,Manisa
west-asia.city-sarissa | Sarissa | West Asia | s=-1600 e=-1200 ext=None b=[-1840, -1360] | typological | h=None ds=None | Planned Hittite provincial city with temple archives, founded and abandoned inside the empire's life. | al=Kusakli,Sivas
west-asia.city-seleucia | Seleucia on the Tigris | West Asia | s=-305 e=300 ext=None b=[-315, -295] | typological | h=None ds=None | Seleucid eastern capital and one of the largest cities of the Hellenistic world. | al=Seleucia ad Tigrim,Baghdad
west-asia.city-seleucia-pieria | Seleucia Pieria | West Asia | s=-301 e=700 ext=None b=[-351, -251] | typological | h=None ds=None | Antioch's port, with a rock-cut tunnel dug to keep the harbour clear. | al=Hatay
west-asia.city-sepphoris | Sepphoris | West Asia | s=-100 e=700 ext=None b=[-125, -75] | typological | h=None ds=None | Galilean city where the Mishnah was redacted, rich in mosaics. | al=Tzippori,Diocaesarea,Northern District
west-asia.city-shabwa | Shabwa | West Asia | s=-1000 e=300 ext=None b=[-1060, -940] | typological | h=None ds=None | Hadramawt capital where all frankincense had to be taxed before export. | al=Shabwah,Sabota
west-asia.city-shahr-e-sukhteh | Shahr-e Sukhteh | West Asia | s=-3200 e=-1800 ext=None b=[-3392, -3008] | typological | h=None ds=None | Large eastern Iranian city with craft workshops, an artificial eye and early animation vessel. | al=Burnt City,Sistan
west-asia.city-shamakhi | Shamakhi | West Asia | s=500 e=None ext=True b=[425, 575] | typological | h=None ds=None | Shirvanshah capital and silk-trade centre on the Caspian route. | al=Shemakha
west-asia.city-shechem | Shechem | West Asia | s=-3500 e=-100 ext=None b=[-3710, -3290] | typological | h=None ds=None | Hill-country covenant city and first Israelite northern capital. | al=Tell Balata,Nablus nearby,West Bank
west-asia.city-shibam | Shibam | West Asia | s=300 e=None ext=True b=[250, 350] | typological | h=None ds=None | Mudbrick high-rise city, the earliest example of vertical urban planning. | al=Shibam Hadramawt,Hadramawt
west-asia.city-shiloh | Shiloh | West Asia | s=-1600 e=-600 ext=None b=[-1840, -1360] | typological | h=None ds=None | Pre-monarchic Israelite sanctuary that housed the Ark before Jerusalem. | al=Khirbet Seilun,West Bank
west-asia.city-shiraz | Shiraz | West Asia | s=693 e=None ext=True b=[652, 734] | typological | h=None ds=None | Islamic-era Fars capital of poets, gardens and wine. | al=Fars
west-asia.city-shuruppak | Shuruppak | West Asia | s=-3000 e=-1700 ext=None b=[-3180, -2820] | typological | h=None ds=None | Home of the flood hero Ziusudra and of the earliest wisdom instructions. | al=Fara,Tell Fara,Dhi Qar
west-asia.city-side | Side | West Asia | s=-700 e=1100 ext=None b=[-805, -595] | typological | h=None ds=None | Pamphylian port that grew rich as a Cilician pirate market and grain harbour. | al=Antalya
west-asia.city-simyra | Sumur | West Asia | s=-2000 e=-600 ext=None b=[-2300, -1700] | typological | h=None ds=None | Egyptian administrative base on the Canaanite coast, prominent in the Amarna letters. | al=Simyra,Tell Kazel,Tartus
west-asia.city-sinope | Sinope | West Asia | s=-700 e=None ext=True b=[-742, -658] | typological | h=None ds=None | Best harbour on the Black Sea's south coast and Mithridates' birthplace. | al=Sinop,Sinop Kalesi
west-asia.city-sippar | Sippar | West Asia | s=-3000 e=400 ext=None b=[-3180, -2820] | typological | h=None ds=None | Cult city of Shamash with a temple archive central to Babylonian law and scholarship. | al=Tell Abu Habbah,Babil
west-asia.city-siraf | Siraf | West Asia | s=200 e=1200 ext=None b=[175, 225] | typological | h=None ds=None | Gulf port that dominated Abbasid trade with India and China until an earthquake ruined it. | al=Taheri,Bushehr
west-asia.city-sirwah | Sirwah | West Asia | s=-900 e=-400 ext=None b=[-1035, -765] | typological | h=None ds=None | Early Sabaean centre with the Karib'il Watar inscription and oval temple. | al=Sirwah Sabaean,Marib
